Name,Nummer
"Biel/Bienne, Bärenhof",8592457
"Roggenburg, Missionskreuz",8571989
"Le Fuet, Chemin de la Bottière",8571941
"Mervelier, poste",8571980
"Büetigen, Ausserdorf",8571461
Oberägeri (See),8530743
Marcheusson,8530751
"Safenwil, Striegel Passhöhe",8530771
Sils/Segl Maria Barchiröls (See),8530715
"Penthaz, village",8501299
"Hohenrain, Post",8502087
"Pontresina, Gitögla",8595595
"Rossemaison, bas du village",8571998
"Anwil, Ausserdorf",8572297
"Beatenberg, Altersheim",8581020
"Treycovagnes, Champ-Murat",8579299
"Baar, Altgasse",8593396
"Portalban, village",8504547
Concise (bateau),8504556
Oberalppass (Gondelbahn Schneehüenerstock),8504348
"Zermatt, Untere Matten",8594566
"Eyholz, Heechriz",8505712
"Fischingen, Grüner Baum",8578609
Lucelle,8572020
"Rünenberg, Frohe Aussicht",8572309
"Gänsbrunnen, St. Josef",8572341
"Carouge GE, Gavard",8592667
Port,8504364
"St. Gallen, Kräzern",8589593
"St. Gallen, Schülerhaus",8510129
"Mumpf, Ankengasse",8580335
La Sagne-Eglise,8504384
Venthône,8501592
Busswil BE,8504415
La Neuveville (bateau),8504377
"Neuchâtel, Port-Roulant",8594601
"Sierre, Glariers",8594608
"Sierre, Piscine Guillamo",8594620
"Etzgen, Dorf",8580181
"St. Gallen, Bleicheli",8574257
Lindenholz,8508184
"Neuchâtel, Riveraine",8594602
"Saanen, Halten",8581357
"Losone, Posta",8505453
"Jongny, Reposoir",8504728
"Sierre, Longs-Prés",8594626
"Arosa, Weisshornbahn/Skischule",8594665
Frasses,8504721
"Thörishaus Station, Bahnhof",8510887
"Arbedo, Chiesa",8581251
"Solothurn, Hauptbahnhof",8572373
"Rüdlingen, Gemeindehaus",8506951
"Sils/Segl Maria, Chesa Cumünela",8509320
"Stettfurt, Freudenberg",8581615
"Aranno, Paese",8505886
"Landquart, Primarschule",8581037
"Aigle, rte d'Evian",8581046
"Igis, Castaletweg",8581040
Grindelwald (Pfingsteggbahn),8530320
Charmet,8530047
"Corseaux, salle de gym",8510000
"Urmein, Cazeschg",8510034
"Forel (Lavaux), La Chesaude",8582774
"Flums, Kirchplatz",8581480
"Unterbach BE, Unterheid",8581473
"Uetendorf, Gibliz",8581785
"Liesberg, Station",8572195
"Rheinfelden, Kloos",8581070
Grandvaux,8504011
Sodoleuvre,8531347
Cotterg-d'en-Haut,8582581
"Bern, Bodenweid",8582552
"Glarus, Pfrundhaus",8582609
"Vallorbe, grottes",8510326
Ronco (Quinto),8575707
"Colombier NE, giratoire de la gare",8594870
Roggwil-Berg Süd,8519120
Lausanne TRIDEL,8516276
"Turtmann, Bahnhof",8579542
"Basel, Barfüsserplatz",8500897
"Landquart, Schulhaus Ried",8581038
"Rickenbach BL, Weier",8500980
"Cologny, Pré-Picot",8507355
"Le Landeron, bif. sur Frochaux",8571908
"Isérables, parc",8588304
"Oetwil am See, Beichlen",8588531
"Gisikon, Weitblick",8583380
"Bänk (Dägerlen), Hanfland",8583415
"Tenero, Scuole",8583208
"Trin, Portalavanda",8583228
